SEQ_NO,ISBN_THIRTEEN_NO,VLM_NM,TITLE_NM,AUTHR_NM,PUBLISHER_NM,PBLICTE_DE,ADTION_SMBL_NM,PRC_VALUE,IMAGE_URL,BOOK_INTRCN_CN,KDC_NM,TITLE_SBST_NM,AUTHR_SBST_NM,TWO_PBLICTE_DE,INTNT_BOOKST_BOOK_EXST_AT,PORTAL_SITE_BOOK_EXST_AT,ISBN_NO
"6352473","9788994283265","","쭉쭉 읽어라 수능 중급 (2021년) - 직독직해의 기적!","김인규 (지은이)","비전(학습)","","53740","14000","https://image.aladin.co.kr/product/27816/77/cover/8994283269_1.jpg","앞으로 갔다 뒤로 갔다 문법을 따지느라 머리가 아픈 학생들을 위해 만든 독해 길라잡이이다. 처음에는 조금 어색할지 모르지만 영어식으로 읽는 직독직해 훈련을 하다보면 이해가 잘되고 글을 읽는 속도도 빨라지는 것을 체험할 수 있다.","","쭉쭉읽어라수능중급2021년직독직해의기적","김인규지은이","2021-08-20","Y","Y",""
"6352474","9791158802684","","구룡광산 토양개량복원 실시설계 보고서 ","[연구기관]: 이코아이텍","한국광해관리공단","","93460","","","","","구룡광산토양개량복원실시설계보고서","연구기관이코아이텍","","Y","Y",""
"6352475","9791187247487","","우리 안에 우리 :","지은이","대구미술관","","74650","","","","","우리안에우리","지은이","","Y","Y",""
"6352476","9788993518733","","Gaya spirit, iron and tune :","[translation: Kwon Namyoung","","","03910","","","","","gayaspirit,ironandtune","translationkwonnamyoung","","Y","Y",""
"6352477","9791158803124","","화원 등 2개광산 지반안정성 정밀조사 (화원광산, 압해도광산) 보고서 ","[연구기관]: 디케이얼","한국광해관리공단","","93460","","","","","화원등2개광산지반안정성정밀조사화원광산,압해도광산보고서","연구기관디케이얼","","Y","Y",""
"6352478","9791158803704","","철마1광산 토양개량복원 자체조사 보고서 ","한국광해관리공단 [편]","한국광해관리공단","","93460","","","","","철마1광산토양개량복원자체조사보고서","한국광해관리공단편","","Y","Y",""
"6352479","9789264836983","","Making Dispute Resolution More Effective - MAP Peer Review Report, Bahrain (Stage 1) (Paperback)","OECD (지은이)","Org. for Economic Cooperation & Development","","","43120","https://image.aladin.co.kr/product/26663/20/cover/9264836985_2.jpg","","","makingdisputeresolutionmoreeffectivemappeerreviewreport,bahrainstage1paperback","oecd지은이","2021-03-08","Y","Y",""
"6352480","9791158803698","","웅남광산 토양개량복원 자체조사 보고서 ","한국광해관리공단 [편]","한국광해관리공단","","93460","","","","","웅남광산토양개량복원자체조사보고서","한국광해관리공단편","","Y","Y",""
"6352481","9791197450013","","미래세대 식습관 형성을 위한 미각교육 :","집필위원회: 강경심","식생활교육국민네트워크","","73590","","","","","미래세대식습관형성을위한미각교육","집필위원회강경심","","Y","Y",""
"6352482","9789264487680","","Making Dispute Resolution More Effective - MAP Peer Review Report, Qatar (Stage 1) (Paperback)","OECD (지은이)","Org. for Economic Cooperation & Development","","","43120","https://image.aladin.co.kr/product/26663/20/cover/9264487689_2.jpg","","","makingdisputeresolutionmoreeffectivemappeerreviewreport,qatarstage1paperback","oecd지은이","2021-03-08","Y","Y",""
"6352483","9791158803834","","제천철 등 4개 광산 지반안정성 기본조사보고서 ","[연구기관]: 산하토건","한국광해관리공단","","93460","","","","","제천철등4개광산지반안정성기본조사보고서","연구기관산하토건","","Y","Y",""
"6352484","9789264496132","","Making Dispute Resolution More Effective - MAP Peer Review Report, Kazakhstan (Stage 1) (Paperback)","OECD (지은이)","Org. for Economic Cooperation & Development","","","43120","https://image.aladin.co.kr/product/26663/20/cover/9264496130_2.jpg","","","makingdisputeresolutionmoreeffectivemappeerreviewreport,kazakhstanstage1paperback","oecd지은이","2021-03-08","Y","Y",""
"6352485","9791155870334","","방재기술자료 ","한국화재보험협회 [편]","한국화재보험협회","","93530","","","","","방재기술자료","한국화재보험협회편","","Y","Y",""
"6352486","9791191227123","","화성이 듣는다 :","화성시 [편]","화성시","","03300","","","","","화성이듣는다","화성시편","","Y","Y",""
"6352487","9791158802998","","주천 등 6개 광산 지반안정성 기본조사보고서 ","[연구기관]: 지하정보기술","한국광해관리공단","","93460","","","","","주천등6개광산지반안정성기본조사보고서","연구기관지하정보기술","","Y","Y",""
"6352488","9788948068962","","알록달록 채소, 과일 어디서 왔니? :","국립농업과학원 [편]","국립농업과학원","","94520","","","","","알록달록채소,과일어디서왔니","국립농업과학원편","","Y","Y",""
"6352489","9791158802677","","무극광산 지반안정성 정밀조사 보고서 ","[연구기관]: 강동엔지니어링","한국광해관리공단","","93460","","","","","무극광산지반안정성정밀조사보고서","연구기관강동엔지니어링","","Y","Y",""
"6352490","9788960950436","","시청각장애(dea-blind) 학생 교육 실태 및 지원 방안 연구 ","연구책임자: 박경란","국립특수교육원","","93370","","","","","시청각장애deablind학생교육실태및지원방안연구","연구책임자박경란","","Y","Y",""
"6352491","9791190340854","","사회 디자인 혁신 =","한국디자인진흥원 [편]","한국디자인진흥원","","03600","","","","","사회디자인혁신","한국디자인진흥원편","","Y","Y",""
"6352492","9788927440994","","직업기초능력평가 문제집 TEENUP 틴업 - 직무적응 포함 직업기초능력평가 5개 영역 수록 / 최신 출제 경향에 맞춘 555제 문제 풀이","NCS직업기초능력연구소 (지은이)","예문사","","53370","26000","https://image.aladin.co.kr/product/27924/86/cover/8927440994_1.jpg","직업기초능력평가에서 출제되는 핵심 유형만을 영역별로 정리하여 한눈에 빠르게 습득할 수 있도록 하였다. 또한 각 유형별 대표 예제와 행동지표 및 문항해설을 담았다. 직업기초능력평가의 최신 출제 기준 및 경향을 분석.반영하여 다양한 유형의 실전 연습 문제를 수록하였다.","","직업기초능력평가문제집teenup틴업직무적응포함직업기초능력평가5개영역수록최신출제경향에맞춘555제문제풀이","ncs직업기초능력연구소지은이","2021-10-15","Y","Y",""
"6352493","9791158802431","","(가)관화리 광산 지반안정성 정밀조사 보고서 ","[연구기관]: 강동엔지니어링","한국광해관리공단","","93460","","","","","가관화리광산지반안정성정밀조사보고서","연구기관강동엔지니어링","","Y","Y",""
"6352494","9791158803292","","일보광산 토양개량복원 실시설계용역 설계보고서 ","[연구기관]: 강원토건","한국광해관리공단","","93460","","","","","일보광산토양개량복원실시설계용역설계보고서","연구기관강원토건","","Y","Y",""
"6352495","9789264759237","","Making Dispute Resolution More Effective - MAP Peer Review Report, United Arab Emirates (Stage 1) (Paperback)","OECD (지은이)","Org. for Economic Cooperation & Development","","","43120","https://image.aladin.co.kr/product/26663/20/cover/9264759239_2.jpg","","","makingdisputeresolutionmoreeffectivemappeerreviewreport,unitedarabemiratesstage1paperback","oecd지은이","2021-03-08","Y","Y",""
"6352496","9791137250376","","Us on the streets ","Su Yeong, Kim Yuna, Brooks, Lucy, Rin","","","03810","","","","","usonthestreets","suyeong,kimyuna,brooks,lucy,rin","","Y","Y",""
"6352497","9791158803773","","산내 등 5개 광산 지반안정성 기본조사 보고서 ","[연구기관]: 한서엔지니어링","한국광해관리공단","","93460","","","","","산내등5개광산지반안정성기본조사보고서","연구기관한서엔지니어링","","Y","Y",""
"6352498","9791137250048","","Nightmare :","Ji Young, Belle, Kelly, Lisa, Esther","","","03810","","","","","nightmare","jiyoung,belle,kelly,lisa,esther","","Y","Y",""
"6352499","9791158803797","","무극 등 7개 광산 지반침하 계측조사 보고서 ","[연구기관]: 세종이엔씨","한국광해관리공단","","93460","","","","","무극등7개광산지반침하계측조사보고서","연구기관세종이엔씨","","Y","Y",""
"6352500","9791196516741","","2019 대전문학관 문학교육 프로그램 작품집 ","강선희","대전문화재단 대전문학관","","03800","","","","","2019대전문학관문학교육프로그램작품집","강선희","","Y","Y",""
"6352501","9789264798977","","Making Dispute Resolution More Effective - MAP Peer Review Report, Barbados (Stage 1) (Paperback)","OECD (지은이)","Org. for Economic Cooperation & Development","","","43120","https://image.aladin.co.kr/product/26663/20/cover/9264798978_2.jpg","","","makingdisputeresolutionmoreeffectivemappeerreviewreport,barbadosstage1paperback","oecd지은이","2021-03-08","Y","Y",""
"6352502","9789264961708","","Making Dispute Resolution More Effective - MAP Peer Review Report, Saint Kitts and Nevis (Stage 1) (Paperback)","OECD (지은이)","Org. for Economic Cooperation & Development","","","43120","https://image.aladin.co.kr/product/26663/20/cover/9264961704_2.jpg","","","makingdisputeresolutionmoreeffectivemappeerreviewreport,saintkittsandnevisstage1paperback","oecd지은이","2021-03-08","Y","Y",""
"6352503","9789264585942","","Making Dispute Resolution More Effective - MAP Peer Review Report, Thailand (Stage 1) (Paperback)","OECD (지은이)","Org. for Economic Cooperation & Development","","","43120","https://image.aladin.co.kr/product/26663/20/cover/926458594x_2.jpg","","","makingdisputeresolutionmoreeffectivemappeerreviewreport,thailandstage1paperback","oecd지은이","2021-03-08","Y","Y",""
"6352504","9789264801271","","Accelerating Climate Action Refocusing Policies Through a Well-Being Lens (Paperback)","OECD (지은이)","OECD","","","84750","https://image.aladin.co.kr/product/26580/66/cover/9264801278_2.jpg","","","acceleratingclimateactionrefocusingpoliciesthroughawellbeinglenspaperback","oecd지은이","2021-02-01","Y","Y",""
"6352505","9789264796577","","States of Fragility 2020 (Paperback)","OECD (지은이)","OECD","","","42750","https://image.aladin.co.kr/product/25559/7/cover/9264796576_2.jpg","","","statesoffragility2020paperback","oecd지은이","2020-10-05","Y","Y",""
"6352506","9789264654679","","How's Life? 2020 Measuring Well-Being (Paperback)","OECD (지은이)","Org. for Economic Cooperation & Development","","","115120","https://image.aladin.co.kr/product/23683/2/cover/9264654674_2.jpg","","","howslife2020measuringwellbeingpaperback","oecd지은이","2020-03-23","Y","Y",""
"6352507","9789264615083","","The Missing Entrepreneurs 2019 Policies for Inclusive Entrepreneurship (Paperback)","경제협력개발기구 (지은이)","Org. for Economic Cooperation & Development","","","134780","https://image.aladin.co.kr/product/23141/10/cover/9264615083_2.jpg","","","themissingentrepreneurs2019policiesforinclusiveentrepreneurshippaperback","경제협력개발기구지은이","2020-03-07","Y","Y",""
"6352508","9791191595024","","청소년 SNS 활동과 디지털 시민성 간의 관계 ","연구책임자: 윤미정","대구미래교육연구원","","13060","","","","","청소년sns활동과디지털시민성간의관계","연구책임자윤미정","","Y","Y",""
"6352509","9788900464610","","빨리 이해하는 중학 수학 개념 기본서 1-1 (2022년) - 2015 개정 교육과정","동아출판㈜ 수학교과서팀 (지은이)","동아출판","","53410","15000","https://image.aladin.co.kr/product/27967/70/cover/8900464612_1.jpg","한눈에 볼 수 있는 상세한 개념 설명과 세분화된 개념 설명인 기초, 개념, 집중 코칭을 통해 개념을 쉽게 이해할 수 있으며, 개념 확인 문제부터 단계적으로 제시한 문제들을 통해 실력을 한 단계 업그레이드한다.","","빨리이해하는중학수학개념기본서112022년2015개정교육과정","동아출판수학교과서팀지은이","2021-09-05","Y","Y",""
"6352510","9791191595000","","교사소진 진단 및 치유 프로그램 발전 방향 모색 ","연구책임자: 임성애","대구미래교육연구원","","13060","","","","","교사소진진단및치유프로그램발전방향모색","연구책임자임성애","","Y","Y",""
"6352511","9788900465433","","시험에 더 강해지는 보카클리어 : 중학 실력편 - 하루 25개, 40일, 1000개 단어 완성","동아영어콘텐츠연구팀 (지은이)","동아출판","","53740","11000","https://image.aladin.co.kr/product/28170/94/cover/8900465430_1.jpg","교육부 권장 및 교과서 필수 어휘 1000개와 교과서 빈출 숙어도 수록했다. 효과적인 어휘 학습을 위한 시험 포인트를 제공한다. 휴대용 미니 단어장 , 어휘 MP3 파일 및 QR코드, '암기고래' 앱을 이용한 모바일 학습 기능과 같은 학습지원서비스를 제공한다.","","시험에더강해지는보카클리어중학실력편하루25개,40일,1000개단어완성","동아영어콘텐츠연구팀지은이","2021-10-20","Y","Y",""
"6352512","9791158803902","","성보광산 지반안정성 정밀조사 보고서 ","[연구기관]: 강동엔지니어링","한국광해관리공단","","93460","","","","","성보광산지반안정성정밀조사보고서","연구기관강동엔지니어링","","Y","Y",""
"6352513","9791160195880","","국내 제재목 생산공정 개선에 따른 환경부하 DB 구축 ","집필인: 전상진","국립산림과학원","","93520","","","","","국내제재목생산공정개선에따른환경부하db구축","집필인전상진","","Y","Y",""
